full_name,email,phone,firm,website,city,state,zip_code,message,practice_areas
"Toon Law Firm","contact@toonlawfirm.com","+1 918-477-7884","Toon Law Firm","http://www.toonlawfirm.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Gorospe Law Group","contact@gorospelaw.com","+1 918-582-7775","Gorospe Law Group","http://www.gorospelaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmblisting","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"RC Law Group","contact@rclawgroupok.com","+1 918-978-7927","RC Law Group","http://www.rclawgroupok.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Wirth Law Office","contact@wirthlawoffice.com","+1 918-879-1681","Wirth Law Office","https://www.wirthlawoffice.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Law Offices of Jeff Martin","contact@jeffmartinlaw.com","+1 918-728-8888","Law Offices of Jeff Martin","https://www.jeffmartinlaw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google-local","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Carr & Carr Injury Attorneys","contact@carrcarr.com","+1 918-747-1000","Carr & Carr Injury Attorneys","https://www.carrcarr.com/midtown-tulsa-office/?utm_source=google&utm_medium=organic&utm_campaign=gmb","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Wandres Law | Injury and Accident Attorneys","contact@injurylawyertulsa.com","+1 918-716-5800","Wandres Law | Injury and Accident Attorneys","https://www.injurylawyertulsa.com/?utm_source=GMB&utm_medium=location%201&utm_campaign=GMBTulsa&utm_term=gmb","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Kania Law Office","contact@kanialaw.com","+1 918-743-2233","Kania Law Office","http://www.kanialaw.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Truskett Law","contact@truskettlaw.com","+1 918-392-5444","Truskett Law","https://truskettlaw.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Edge Law Firm","contact@edgelawfirm.com","+1 918-582-6333","Edge Law Firm","http://www.edgelawfirm.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Benedict Law","contact@benedictlawoffice.com","+1 918-477-7000","Benedict Law","http://www.benedictlawoffice.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
